dev_id,task_id,r1,r2
69,113,2,2
70,4101,6,2
71,7049,6,2
72,114,1,2
73,5410,1,2
73,6546,1,2
74,3632,1,2
74,28,1,2
74,5128,1,2
74,5558,1,2
75,116,1,2
76,119,9,2
77,9433,1,2
78,125,8,2
79,4622,1,2
80,126,1,2
81,127,7,2
82,2622,8,2
83,128,3,2
84,2891,6,2
84,4517,6,2
85,1000,2,2
86,129,3,2
87,130,1,2
87,303,1,2
88,691,1,2
89,7475,3,2
89,131,3,2
90,8459,6,3
91,132,6,2
92,7418,2,2
93,135,3,2
94,5439,2,2
94,6157,2,2
95,760,6,1
95,7052,6,2
96,4207,1,2
97,7583,1,2
98,140,1,2
99,141,2,2
100,432,1,2
101,144,1,2
102,145,1,2
103,8096,1,2
104,9711,4,2
105,6307,2,2
106,2597,2,2
107,153,3,2
108,4153,1,2
108,3660,1,2
109,155,2,2
110,163,7,2
111,165,2,2
112,6972,3,2
113,167,1,2
113,4016,1,2
113,8799,1,2
113,9476,1,2
114,171,1,2
115,172,1,2
116,173,1,2
117,9367,1,2
118,175,1,2
119,2293,1,2
120,177,2,2
121,650,1,2
121,6756,1,2
121,2376,1,2
122,178,1,2
123,179,1,2
124,180,2,2
125,5377,2,2
126,6628,1,3
126,3777,1,2
127,181,3,2
128,182,1,2
129,5922,1,2
130,2013,3,2
131,183,1,2
132,5936,7,2
133,8230,1,2
134,184,1,2
134,550,1,2
135,2559,2,2
135,4881,2,2
136,536,1,2
136,6715,1,2
136,7358,1,2
137,185,3,2
138,8753,2,2
138,2363,2,3
138,8546,2,2
139,7067,2,2
140,8714,1,2
141,640,3,2
142,6851,1,2
143,4025,4,2
144,1015,2,1
145,8693,1,1
145,4804,1,2
145,2470,1,2
145,4959,1,2
145,8379,1,2
145,8439,1,2
146,1738,1,2
146,3137,1,2
147,186,7,2
148,189,1,2
149,1958,1,2
150,7443,2,2
150,411,2,2
151,191,1,2
151,190,1,2
152,3192,3,2
153,1069,2,2
154,192,3,2
155,6630,3,2
155,2176,3,2
155,7039,3,2
155,2978,3,2
155,6546,3,2
156,6643,6,2
156,2219,6,2
157,3602,7,3
158,195,1,2
159,8744,1,2
160,3629,3,2
161,197,2,2
162,198,3,2
163,5000,7,2
164,2895,2,2
164,156,2,3
165,203,3,1
166,208,7,2
167,211,1,2
168,3123,2,2
169,6804,1,2
170,8220,1,2
170,4291,1,2
171,7667,1,2
172,3646,1,3
172,8328,1,2
172,2204,1,2
172,2234,1,2
173,7941,7,3
174,875,1,2
174,215,1,2
174,6929,1,2
175,217,1,2
176,2291,1,2
176,8904,1,2
176,1125,1,2
176,6346,1,2
176,2041,1,2
177,220,1,2
178,4029,1,2
179,4433,6,2
180,224,3,2
181,4336,1,2
182,226,1,2
183,227,2,2
184,231,3,2
185,701,1,2
185,7552,1,2
186,5704,3,2
186,8496,3,2
187,9631,1,2
188,8464,1,2
189,5116,1,2
190,236,2,2
191,1063,1,2
191,1287,1,2
192,6985,1,2
192,4502,1,2
192,3152,1,2
192,6011,1,2
192,7971,1,2
192,1476,1,2
192,1235,1,2
193,8761,3,2
193,9559,3,2
193,7420,3,2
193,5202,3,2
194,5135,8,2
195,242,3,2
196,243,1,2
197,244,6,2
198,1389,6,2
199,343,3,2
199,4647,3,2
199,6960,3,2
200,7335,3,2
201,2156,1,2
201,2622,1,2
201,1729,1,2
201,8853,1,2
201,1249,1,2
202,248,3,2
203,1172,2,2
204,249,1,2
205,253,2,2
206,256,1,2
207,8069,1,2
208,259,2,2
209,261,1,2
210,8317,2,2
211,9645,3,2
211,4478,3,2
212,9106,1,2
212,8608,1,2
213,264,1,2
214,265,1,3
215,3051,3,2
216,4181,3,2
217,5343,1,2
217,2457,1,2
218,268,2,2
219,9208,1,2
219,269,1,2
220,270,3,2
221,4747,2,2
222,5941,3,2
223,6371,1,2
224,8256,7,2
225,274,1,2
226,3286,2,2
227,278,1,2
228,283,1,2
229,9245,1,2
230,8439,1,2
231,9705,2,2
232,230,1,2
233,286,7,2
234,288,4,2
235,5231,2,2
235,3512,2,2
236,4995,9,2
237,8905,1,2
238,9616,2,2
239,293,6,2
240,295,1,3
240,296,1,3
241,332,1,2
242,301,6,2
243,1833,1,2
243,8375,1,2
244,306,2,2
245,307,7,2
246,3839,2,2
246,1099,2,2
247,7909,1,2
247,313,1,2
248,314,4,2
249,315,1,2
250,320,1,2
251,5346,1,2
251,322,1,2
252,325,1,2
253,333,3,2
254,1621,2,2
255,334,6,2
256,2474,1,2
257,711,1,2
258,337,6,2
259,2945,1,2
259,4538,1,2
260,340,7,2
261,9515,2,2
261,9531,2,2
262,344,1,2
263,345,3,2
264,8325,1,2
265,7345,1,2
266,7961,1,2
266,347,1,2
267,6391,1,2
267,6325,1,2
